127.0.0.1 - - [25/Mar/2021:16:28:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:21 +0900] "GET /StudyCafe_2/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 200 99964
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 200 12611
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/logo.png HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 200 14317
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/js/theme-scripts.js HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/demo/main01.png HTTP/1.1" 200 1912841
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/demo/main02.png HTTP/1.1" 200 2016146
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/demo/branch01.png HTTP/1.1" 200 6822316
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/demo/branch02.png HTTP/1.1" 200 6559158
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:23 +0900] "GET /StudyCafe_2/images/demo/branch03.png HTTP/1.1" 200 6566982
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:51 +0900] "GET /StudyCafe_2/studycafe?command=main HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:51 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 200 99964
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:51 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 200 12611
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:51 +0900] "GET /StudyCafe_2/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [25/Mar/2021:16:28:51 +0900] "GET /StudyCafe_2/js/SmoothScroll.js HTTP/1.1" 200 14317
